district_name,district_type,city,normed_2019,normed_2025,normed_diff,z_sort
Gallaudet College HD,Historic District,Washington,5.3432083067870974e-05,5.189714998937406e-05,-1.5349330784969164e-06,-5.5980810884648236e-06
Gallery Place,Tax District,Washington,0.0007494327620880152,0.000343558838143232,-0.00040587392394478316,-1.3181333997636102e-06
Georgetown HD,Historic District,Washington,0.012141661030386906,0.01146708872811221,-0.0006745723022746966,-0.0002739465624017612
Georgetown Visitation Convent and Prep School,Historic District,Washington,6.518009756537368e-05,0.0002016560231694465,0.00013647592560407282,-9.545590955895022e-06
Glover-Archbold Park,Historic District,Washington,7.016105446153115e-05,0.000545797064500574,0.0004756360100390429,-9.350983486910991e-05
Golden Triangle BID,Business District,Washington,0.01787675492570098,0.010444540949331232,-0.007432213976369747,-7.875582127780945e-05
Grant Circle HD,Historic District,Washington,3.0212773900429866e-05,5.722541460770939e-05,2.7012640707279527e-05,-3.578328914954909e-06
Grant Rd HD,Historic District,Washington,9.936757444354536e-06,1.2115722036712715e-05,2.178964592358179e-06,-1.2132886695326306e-06
Great Streets: Petworth Retail Priority Area - Georgia Ave CVS,Tax District,Washington,1.8112570531481686e-05,1.5623680485298636e-06,-1.6550202482951822e-05,-1.3627845873998012e-07
Greater 14th St HD,Historic District,Washington,0.004161841050219164,0.00426316441921374,0.00010132336899457573,-4.882774919678923e-05
Greater U St HD,Historic District,Washington,0.007118542095047827,0.006806810147129452,-0.00031173194791837486,-7.246277095873666e-05
Greystone Enclave,Historic District,Washington,3.87407758590025e-06,3.751894214653555e-05,3.36448645606353e-05,-1.1235800229769666e-05
H Street - Bladensburg Road NE,Infrastructure District,Washington,0.01485288643181807,0.015734925512150326,0.0008820390803322559,-0.00013960726369077747
H Street - Bladensburg Road NE - Amended,Infrastructure District,Washington,0.003374900173322206,0.004412237913957429,0.001037337740635223,-4.9867994221131084e-05
Immaculata Seminary HD,Historic District,Washington,0.00013473739967585543,5.06590470075202e-05,-8.407835266833523e-05,-3.4438646707712905e-06
Kalorama Triangle HD,Historic District,Washington,0.0010304291688055852,0.0015261535363106384,0.0004957243675050532,-2.5039273168658838e-05
Kingman Park HD,Historic District,Washington,0.0015206006088138082,0.0017321208109347546,0.00021152020212094648,-0.0001380633577809931
Lafayette Square HD,Historic District,Washington,0.0023635898289665184,0.0006935956079593779,-0.0016699942210071405,-2.0067857349204132e-05
Langston Golf Course HD,Historic District,Washington,4.81744063441492e-05,0.0002038374427089033,0.0001556630363647541,-9.422662560609751e-05
LeDroit Park HD,Historic District,Washington,0.0006819382805102855,0.0011732499685186523,0.0004913116880083669,-1.8444075067236554e-05
Logan Circle HD,Historic District,Washington,0.00023111136871211422,0.0005773392118954223,0.00034622784318330806,-8.706924063517363e-06
MLK/South Capitol (A),Infrastructure District,Washington,0.005126486369108327,0.0060366953530951424,0.0009102089839868157,-9.855654252532986e-05
MLK/South Capitol (C),Infrastructure District,Washington,0.0012513270602457806,0.0024910779388111672,0.0012397508785653866,-5.08864297898981e-05
Marine Barracks HD,Historic District,Washington,5.235036010557415e-05,0.0,-5.235036010557415e-05,-1.5065086245158454e-06
Marjorie Webster HD,Historic District,Washington,2.0728830719362374e-05,2.5845399746199207e-05,5.1165690268368325e-06,-3.49191350323963e-06
Massachusetts Ave HD,Historic District,Washington,0.0028602012940526014,0.0036343186493410762,0.0007741173552884748,-4.0865412302082404e-05
McMillan Park Reservoir HD,Historic District,Washington,0.00013579396629019187,0.00016160191777435306,2.5807951484161187e-05,-4.72223318865872e-05
Meridian Hill,Historic District,Washington,0.0012598550622043533,0.005774703918542139,0.0045148488563377855,-2.711589263526548e-05
Minnesota-Benning,Infrastructure District,Washington,0.005706491127683107,0.006903566421229209,0.001197075293546102,-0.00015563232136628358
Montrose Park,Historic District,Washington,3.4464196705735986e-06,8.069778363868871e-06,4.623358693295272e-06,-6.21825870439352e-06
Mount Vernon Triangle CID,Business District,Washington,0.003479449955445592,0.0033694530471516265,-0.00010999690829396544,-2.8179120818094816e-05
Mount Vernon Triangle HD,Historic District,Washington,0.0003145046622008112,0.0003526529993313728,3.814833713056164e-05,-2.1141609067854006e-06
Mt Vernon Seminary,Historic District,Washington,0.00039918092943548806,1.5645789467117456e-05,-0.0003835351399683706,-1.7120055190389394e-05
Mt. Pleasant HD,Historic District,Washington,0.00313339923290245,0.003737891859501636,0.0006044926265991856,-7.391840676973516e-05
Mt. Vernon Mem Hwy HD,Historic District,Washington,0.0001417057080608838,0.0001356091248160284,-6.096583244855384e-06,-4.146714809394325e-05
Mt. Vernon Square HD,Historic District,Washington,0.0010727421460749631,0.0009895095902830553,-8.323255579190786e-05,-1.918265775202599e-05
Nannie Helen Burroughs Avenue NE,Infrastructure District,Washington,0.0020412615425500257,0.0030268743738690288,0.000985612831319003,-6.180640025377215e-05
National Arboretum,Historic District,Washington,7.904124529154924e-05,0.00041054168339364674,0.0003315004381020975,-0.000191938411717274
National Mall HD,Historic District,Washington,0.013259835540878336,0.011100123847883454,-0.002159711692994882,-0.0003174289986418444
National Zoological Park HD,Historic District,Washington,0.0021216360742834753,0.0007146212496690746,-0.0014070148246144007,-6.886179812681803e-05
New Convention Center Hotel TIF Area,Tax District,Washington,0.0007117233964953886,0.0004074832742420435,-0.00030424012225334514,-1.1972392712777946e-06
NoMa BID,Business District,Washington,0.01084942974835753,0.009467611369703085,-0.0013818183786544445,-9.945452370629937e-05
Observatory Hill,Historic District,Washington,0.00012150516064868963,5.232459030453788e-07,-0.00012098191474564425,-5.869464303032146e-06
Pennsylvania Ave NHS,Historic District,Washington,0.01885868265563893,0.009615026690810363,-0.009243655964828568,-0.00010946772954412154
Pennsylvania Avenue SE (1),Infrastructure District,Washington,0.001188084001473357,0.0014847065650609593,0.0002966225635876022,-2.90492332624126e-05
Pennsylvania Avenue SE (2),Infrastructure District,Washington,0.0005461946269160144,0.0008243333871146599,0.0002781387601986455,-4.08683076784655e-05
Pennsylvania Avenue SE (3),Infrastructure District,Washington,0.001157871227572927,0.0018671256235810686,0.0007092543960081415,-3.44426828178257e-05
Reunion Square TIF Area,Tax District,Washington,3.0414024684112997e-05,1.795986289748716e-05,-1.2454161786625837e-05,-1.2753159808198689e-06
Seventeenth St HD,Historic District,Washington,0.00045532989808308124,0.0002770476511716187,-0.00017828224691146256,-8.436526513833087e-06
